Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
C,24,IND,27,27,31.2,4.7,9.4,0.498,1.4,4.4,0.325,3.2,4.9,0.654,0.575,2.4,3.1,0.776,1.3,5.3,6.6,1,1.1,3.5,1.4,3.6,13.2
PG,29,SAC,27,1,19.8,2.7,5.7,0.471,0.7,2,0.327,2,3.7,0.55,0.529,0.7,1,0.741,0.4,1.7,2.1,2.4,0.8,0.2,1.1,2.2,6.8
PG,24,TOT,23,0,12.3,1.3,3.4,0.385,0.2,0.8,0.222,1.1,2.6,0.433,0.41,0.6,1.1,0.52,0.1,1.2,1.3,3.3,0.8,0.2,1.4,1.2,3.3
PG,25,ATL,22,0,12.7,1.5,4.6,0.324,0.6,2.4,0.269,0.9,2.3,0.38,0.392,0.8,1.1,0.708,0.1,1.1,1.2,2,0.5,0,0.5,1,4.4
SG,28,DET,3,0,14.3,2.3,6.7,0.35,1.3,3,0.444,1,3.7,0.273,0.45,1.3,1.3,1,0.3,1.3,1.7,1,0,0,0.3,0.7,7.3
PG,24,MIL,54,37,30.5,4.6,10.3,0.452,0.3,1,0.273,4.4,9.3,0.472,0.466,2,3,0.654,0.9,4.2,5.1,5.2,1.5,0.8,2.8,3,11.5
SG,38,SAS,58,0,19.6,3.4,7.5,0.453,1.2,3.1,0.391,2.2,4.4,0.496,0.533,1.6,1.9,0.813,0.4,2.1,2.5,3.1,1.1,0.2,1.7,1.7,9.6
SG,32,TOT,81,8,20.3,2.1,6,0.351,0.9,3.1,0.3,1.2,2.9,0.405,0.428,0.8,0.9,0.824,0.3,1.6,1.9,2,0.5,0.4,1.1,1.6,5.9
PF,19,CHI,26,26,27.7,3.7,8.1,0.455,0.9,2.2,0.397,2.8,5.9,0.477,0.509,1.8,2.3,0.797,0.9,3.7,4.6,1.1,0.7,0.7,1.5,2.3,10.1
SG,30,PHI,22,22,29,4.6,9.3,0.5,2.1,4.4,0.479,2.5,4.9,0.519,0.613,1.8,1.8,0.975,0.2,1.7,1.9,2.7,0.8,0.3,1.4,1.7,13.1
SG,24,MIL,28,28,26.1,3.7,8.9,0.419,2,4.9,0.401,1.8,4,0.441,0.53,0.5,0.8,0.619,1,3.4,4.5,2.8,1.2,0.2,1.2,1.5,9.9
PF,35,OKC,59,4,11.8,0.8,1.8,0.459,0,0,0,0.8,1.8,0.467,0.459,0.4,0.6,0.697,1.2,1.7,2.9,0.9,0.3,0.3,0.8,1.8,2.1
PF,24,IND,7,0,5.9,0.7,1.6,0.455,0,0.3,0,0.7,1.3,0.556,0.455,0.1,0.3,0.5,0.7,1,1.7,0.4,0.1,0.1,0.7,1,1.6
PG,32,DET,15,0,22.8,5.3,12.3,0.429,0.9,2.6,0.333,4.4,9.7,0.455,0.465,2.8,3.3,0.84,0.4,1.5,1.9,4.2,1.2,0.3,1.9,1.1,14.2
PF,24,MEM,20,13,27.2,5.6,11.1,0.5,0.6,1.8,0.306,5,9.3,0.538,0.525,1.3,2.1,0.634,1.6,4,5.6,1.8,1.2,0.8,0.7,1.7,13
PF,29,IND,28,8,26.2,5.1,10.1,0.511,1.5,4.3,0.355,3.6,5.8,0.627,0.587,1.3,1.6,0.795,1,3.1,4.1,1.4,0.3,0.1,1.1,1.8,13.1
C,22,TOT,7,0,2.6,0.4,0.7,0.6,0,0,0,0.4,0.7,0.6,0.6,0.1,0.3,0.5,0.1,0.4,0.6,0.1,0.1,0,0,0.1,1
PF,25,BRK,39,2,10.9,1.9,3.4,0.571,0,0,0,1.9,3.4,0.571,0.571,0.8,1.4,0.545,1.3,1.9,3.1,0.3,0.2,0.8,0.4,1.2,4.7
PF,30,PHO,79,1,21.3,4.2,9.8,0.427,2.3,5.8,0.393,1.9,4,0.476,0.544,1.5,2,0.774,0.7,3.1,3.8,1.1,0.4,0.3,1.1,2,12.2
PF,39,MIN,38,38,14.6,1.4,3,0.47,0,0,0,1.4,3,0.474,0.47,0.4,0.6,0.667,0.4,3.6,3.9,1.6,0.7,0.3,0.4,1.8,3.2
PF,28,MEM,12,2,17.7,2.9,4.3,0.673,0,0,0,2.9,4.3,0.673,0.673,1.1,2,0.542,1.2,2.4,3.6,0.5,0.4,1.3,0.8,1.8,6.9
SG,21,GSW,15,0,9.5,1.7,4.1,0.426,0.9,2.6,0.333,0.9,1.5,0.591,0.533,1.2,1.3,0.947,0.1,1.1,1.2,0.9,0.2,0.1,0.5,0.9,5.5
C,23,CHI,31,4,10.4,1.3,2.3,0.556,0,0.1,0,1.3,2.2,0.588,0.556,0.8,1.1,0.714,1,2.3,3.3,0.8,0.2,0.4,0.4,1,3.4
SF,23,NYK,2,0,3,1.5,2,0.75,0,0.5,0,1.5,1.5,1,0.75,0,0,0,0,0.5,0.5,0,0,0,0,1,3
PF,22,CHO,28,2,26.7,3.8,8,0.469,1.3,3.5,0.364,2.5,4.5,0.552,0.549,1.1,1.2,0.939,1.3,4.5,5.8,1.9,0.7,0.8,1.8,2.4,9.9
PG,19,LAL,80,48,28.2,4.9,12,0.41,1.6,4.6,0.351,3.3,7.3,0.447,0.478,1.8,2.4,0.737,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,13.2
PF,26,BOS,27,6,19.6,2,4.7,0.414,1.3,3.3,0.378,0.7,1.4,0.5,0.547,0.7,0.9,0.72,0.6,2.5,3.1,0.9,0.3,0,0.4,1.2,5.9
PG,33,SAS,72,72,27.5,4.9,9.9,0.493,0.4,0.9,0.415,4.5,9,0.501,0.512,1.8,2.4,0.76,0.2,2.2,2.4,5.3,0.8,0.2,1.8,1.6,11.9
SF,25,NOP,11,4,27.6,4.5,10.5,0.422,1.2,4.1,0.289,3.3,6.5,0.507,0.478,1.3,1.9,0.667,1.1,4.5,5.6,2.3,0.7,0.3,1.5,2.2,11.4
PG,27,GSW,79,79,34.2,10.2,20.2,0.504,5.1,11.2,0.454,5.1,9,0.566,0.63,4.6,5.1,0.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2,30.1
C,34,TOR,25,24,18.8,2.4,5.8,0.411,0.5,2.2,0.222,1.9,3.7,0.522,0.452,0.3,0.4,0.778,1.5,3.9,5.4,1,0.3,0.3,0.8,2.5,5.6
SF,25,CHO,17,0,9.4,1.2,2.2,0.526,0.2,0.8,0.231,1,1.5,0.68,0.566,0.5,0.6,0.8,0.6,1.4,2,0.9,0.4,0,0.5,0.5,3
SG,22,WAS,55,35,31.1,6.5,14.5,0.449,1.9,4.9,0.387,4.6,9.6,0.481,0.515,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1,0.2,2,2.1,17.4
PG,23,BOS,9,1,10,0.7,3,0.222,0.3,1.3,0.25,0.3,1.7,0.2,0.278,0.8,0.9,0.875,0.2,0.7,0.9,2.8,0.6,0,1.4,0.7,2.4
SF,33,PHI,29,29,28.4,3.1,7.7,0.401,2.2,5.8,0.375,0.9,1.9,0.481,0.543,0.3,0.5,0.714,1,2.7,3.7,1.7,1.1,0.7,1.4,1.7,8.7
SG,24,MIN,29,28,32.8,7.7,17,0.455,3.4,8.7,0.398,4.3,8.3,0.515,0.557,2,2.4,0.843,0.9,4,4.9,2.5,0.9,0.2,1.7,1.7,20.9
SF,21,BOS,13,0,14.7,1.2,3.6,0.34,0.9,2.9,0.316,0.3,0.7,0.444,0.468,0.4,0.5,0.714,0.5,1.8,2.3,0.5,0,0.3,0.7,1.8,3.8
PG,20,SAC,25,2,29.4,4.8,9.6,0.498,2.3,5.2,0.443,2.4,4.3,0.565,0.619,0.6,0.7,0.824,1,2.6,3.6,5.2,1.2,0.6,1.6,1.2,12.4
SF,30,LAC,20,20,34,8.4,16.6,0.508,3.8,7.9,0.478,4.7,8.7,0.534,0.621,3.8,4.2,0.905,0.7,5.6,6.2,5.5,1.2,0.5,3.6,2.3,24.4
SF,27,UTA,29,29,32.6,2.7,5.8,0.462,1.8,4.1,0.429,0.9,1.7,0.54,0.612,0.8,0.9,0.846,1.1,5.7,6.9,2.3,0.8,0.7,1.1,2.9,7.9
PF,23,CHO,8,0,2.9,0.4,0.8,0.5,0,0,0,0.4,0.8,0.5,0.5,0.6,0.8,0.833,0.3,0.5,0.8,0,0,0,0.1,0.5,1.4
PG,31,ORL,33,2,19.9,1.4,4.2,0.343,0.4,1.5,0.292,1,2.7,0.371,0.394,1,1.2,0.872,0.3,1.7,2,2.7,0.6,0.2,0.8,1.5,4.3
PG,28,SAC,74,15,30,5.1,10.5,0.486,1.2,2.9,0.401,3.9,7.6,0.519,0.542,2.6,3.1,0.858,0.4,1.9,2.3,4.3,1,0.1,1.8,1.9,14
C,22,DEN,18,0,8.7,1.7,3.1,0.545,0,0,0,1.7,3.1,0.545,0.545,0.9,1.5,0.593,1.4,1.4,2.8,0.6,0.4,0.7,0.8,2.2,4.2
SG,21,MIN,16,7,21.2,3.2,6.9,0.459,0.5,1.9,0.258,2.7,5,0.538,0.495,1.3,2.1,0.606,1.6,3.4,5,0.9,0.7,0.4,1.3,2.4,8.1
SF,30,HOU,81,81,35.3,4.4,10.6,0.416,2.3,6.2,0.371,2.1,4.4,0.478,0.523,1.6,2,0.783,0.8,3.7,4.5,2.3,2,0.3,1.4,2.2,12.7
SG,34,MIA,74,73,30.5,7.3,16,0.456,0.1,0.6,0.159,7.2,15.4,0.468,0.459,4.4,5.5,0.793,1.1,3,4.1,4.6,1.1,0.6,2.7,1.6,19
PG,27,OKC,80,80,34.4,8.2,18.1,0.454,1.3,4.3,0.296,6.9,13.8,0.503,0.489,5.8,7.2,0.812,1.8,6,7.8,10.4,2,0.3,4.3,2.5,23.5
PG,31,NOP,2,1,11.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,2.5,0
C,25,PHO,11,0,7.1,0.4,0.9,0.4,0,0.1,0,0.4,0.8,0.444,0.4,0.5,0.8,0.556,0.6,0.8,1.5,0,0.1,0.5,0.5,1.6,1.2
C,31,LAC,29,29,24.2,4.8,9.2,0.515,1,2.7,0.377,3.8,6.6,0.571,0.569,1.2,1.5,0.818,1.9,4.8,6.7,1.7,0.2,1.2,1.3,1.9,11.8
PF,20,ORL,78,37,23.9,3.5,7.4,0.473,0.5,1.8,0.296,3,5.6,0.531,0.509,1.7,2.5,0.668,2,4.5,6.5,1.6,0.8,0.7,0.8,2,9.2
PF,25,MEM,78,15,18.5,2.9,6.3,0.465,0.2,0.6,0.333,2.8,5.8,0.478,0.48,1.3,1.8,0.752,1.8,3,4.8,0.9,0.6,0.4,1.1,2.4,7.4
SF,28,ORL,15,15,28.7,5.8,12.9,0.451,2.3,6.2,0.366,3.5,6.7,0.53,0.539,4,5,0.8,0.3,2.3,2.5,3.6,1,0.4,2.1,2.3,17.9
SF,20,ORL,79,9,17.9,2.3,5.3,0.433,0.8,2.4,0.349,1.4,2.9,0.504,0.513,0.6,0.7,0.907,0.4,1.9,2.2,1.4,0.5,0.2,1.2,1.6,6.1
C,23,CHO,73,60,24.3,3.2,6,0.529,0,0.1,0.1,3.2,5.8,0.539,0.53,2.4,3.2,0.754,1.9,4.3,6.2,1,0.8,0.9,0.9,2.8,8.7
SG,27,GSW,16,10,21.8,2.6,4.7,0.56,0.7,1.6,0.423,1.9,3.1,0.633,0.633,0.6,0.9,0.714,0.8,4,4.8,2.3,0.6,0.7,1.1,2.3,6.6
SF,30,DEN,25,21,29.8,4.4,10,0.436,1.6,4,0.404,2.8,6,0.457,0.516,1.3,1.8,0.75,0.5,3.2,3.7,3.2,0.8,0.4,1.5,1.8,11.6
SG,24,CHO,43,0,11.1,2.1,4.3,0.476,1.4,2.8,0.484,0.7,1.5,0.462,0.634,0.1,0.2,0.556,0.2,1.2,1.3,0.5,0.3,0.1,0.6,0.9,5.6
SF,24,CHI,81,4,23,3.6,8,0.452,1.4,3.2,0.425,2.2,4.8,0.47,0.537,0.9,1,0.857,0.5,2,2.4,0.7,0.2,0.1,0.7,1.6,9.4
PF,22,PHI,51,1,13.8,2.2,4.4,0.514,0.2,0.9,0.182,2.1,3.5,0.596,0.532,1,1.5,0.689,1.2,1.4,2.6,0.6,0.4,0.8,0.6,1.8,5.6
PG,32,PHO,62,18,19.5,1.9,4.9,0.384,1.1,3.2,0.347,0.8,1.7,0.453,0.497,0.5,0.7,0.756,0.4,1.2,1.6,2.4,1.2,0.2,1.1,2.6,5.3
SF,26,BRK,79,39,26.8,4.1,9.5,0.433,1.6,4.3,0.382,2.5,5.2,0.474,0.519,1.4,1.7,0.833,0.5,2.8,3.2,1.3,0.4,0.1,1.5,1.5,11.2
PF,20,DEN,15,0,7.5,1.1,2.1,0.5,0.7,1.3,0.5,0.4,0.8,0.5,0.656,0.1,0.3,0.5,0.3,0.5,0.9,0,0.1,0.1,0,0.5,2.9
SG,30,NYK,71,57,33.4,5,11.3,0.443,1.3,3.4,0.382,3.7,7.9,0.469,0.5,1.5,1.8,0.84,0.3,3.4,3.7,2,0.4,0.1,1.2,2,12.8
PG,24,MIN,17,0,18.2,2.2,5.5,0.394,0.5,1.4,0.375,1.6,4.1,0.4,0.441,0.4,0.5,0.778,0.5,1.7,2.2,4.6,1,0.2,1.2,0.8,5.3
C,22,NYK,27,27,28.8,3.8,5.8,0.66,0,0,0,3.8,5.8,0.66,0.66,0.8,1.7,0.478,3.6,4.8,8.4,0.5,1.2,1.5,0.8,2.9,8.4
PG,21,NYK,26,0,19.4,3.9,9.8,0.395,1.7,4.6,0.367,2.2,5.2,0.419,0.48,2.9,3.1,0.95,0.4,2,2.3,2.7,0.4,0.3,0.9,2.1,12.4
C,25,MIL,79,67,29.3,6.2,11.9,0.522,0,0,0,6.2,11.9,0.522,0.522,2.9,3.9,0.74,2.8,6.1,8.8,2.3,0.9,0.8,1.6,2.1,15.3
PG,32,SAS,27,0,25.4,4.7,10.5,0.449,2.6,6.5,0.4,2.1,4,0.528,0.572,1.2,1.3,0.943,0.3,1.6,1.9,2.7,0.7,0,1,1.4,13.2
PF,25,HOU,6,0,6,1.3,2.8,0.471,0,0.8,0,1.3,2,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0,0.3,0.7,1,2.8
SF,23,GSW,66,59,30.9,4.5,9.6,0.466,1.2,3.2,0.383,3.2,6.3,0.508,0.531,1.5,2,0.761,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7
SF,24,TOR,73,7,23.9,3.7,8.6,0.431,1.8,4.6,0.386,1.9,3.9,0.484,0.536,0.7,0.8,0.79,0.3,2.2,2.5,0.8,0.7,0.3,0.6,1.6,9.9
SF,21,NYK,23,0,16.2,1.9,4.9,0.389,1.1,2.9,0.379,0.8,2,0.404,0.5,0.4,0.5,0.833,0.4,1.7,2.1,0.7,0.3,0.3,0.7,1.4,5.3
PG,29,IND,74,73,34.1,4.4,10,0.441,1.7,4.2,0.408,2.7,5.7,0.466,0.528,1.5,2,0.76,0.8,3.2,4,3.5,1.1,0.2,1.4,2,12.1
PF,20,POR,8,0,4.5,0.6,1.3,0.5,0,0,0,0.6,1.3,0.5,0.5,0,0,0,0.3,0.5,0.8,0,0.1,0.3,0.1,0.1,1.3
PG,29,DEN,25,1,14,1.5,3.8,0.396,1,2.6,0.375,0.6,1.3,0.438,0.521,0.9,1.2,0.759,0.2,0.6,0.8,1.9,0.9,0.2,0.7,1.8,4.9
SG,29,SAC,68,7,24.6,3.6,9.3,0.386,1.3,4.4,0.306,2.3,5,0.456,0.457,1.7,2,0.833,0.1,1.6,1.7,1.9,0.5,0,1.2,1.3,10.2
SG,28,IND,16,8,25.1,4.1,8.1,0.508,1.9,3.9,0.5,2.2,4.3,0.515,0.627,2.3,2.4,0.923,0.9,3.4,4.3,1.6,0.9,0.5,0.9,2.1,12.4
PG,34,MIA,17,6,26.5,5.2,11.5,0.456,1.6,4.6,0.359,3.6,6.9,0.521,0.528,2.2,2.8,0.809,0.4,2.6,3.1,5.3,0.5,0.1,3,2.6,14.4
PG,23,UTA,81,53,18.5,2.2,5.2,0.431,0.8,2,0.395,1.4,3.2,0.453,0.507,0.6,0.9,0.743,0.2,1.3,1.5,2.1,0.8,0,1.3,1.5,5.9
PG,35,DET,58,2,17,1.6,4.1,0.388,0.9,2.6,0.344,0.7,1.5,0.461,0.496,0.3,0.3,0.8,0.2,1.4,1.5,3.4,0.4,0.1,1.4,1.2,4.4
C,26,MIN,82,39,27.1,3.8,7.1,0.532,0.1,0.2,0.3,3.7,6.8,0.54,0.537,2.5,3,0.827,1.9,5.2,7.1,1.7,1.1,1.2,1.7,2.7,10.1
PG,28,TOT,62,0,19,2.4,5.6,0.423,1.1,2.7,0.405,1.3,2.9,0.44,0.52,1.7,2.1,0.805,0.1,1.4,1.5,3.2,0.6,0.1,1.4,1.4,7.5
PF,24,LAL,1,0,2,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
SG,26,SAS,8,4,23.6,4.3,10.8,0.395,1.9,5.5,0.341,2.4,5.3,0.452,0.483,1.4,1.9,0.733,0.1,1.6,1.8,3.9,1,1,0.9,2.3,11.8
SF,26,ORL,26,11,21,1.2,3.9,0.294,0.9,3.3,0.264,0.3,0.6,0.467,0.407,0.2,0.3,0.857,1.1,2.5,3.6,0.9,0.3,0.2,0.6,1.1,3.4
SG,30,GSW,72,25,14.7,1.5,3.6,0.427,0.9,2.2,0.414,0.6,1.4,0.447,0.552,0.3,0.4,0.643,0.3,2.2,2.5,0.8,0.3,0.3,0.5,0.8,4.2
SF,27,PHO,12,0,14.3,2.6,5.2,0.5,0.8,2.1,0.4,1.8,3.1,0.568,0.581,1.2,1.5,0.778,0,2.4,2.4,0.9,0.4,0.1,0.7,1.1,7.2
SG,26,TOR,28,28,36.4,6.9,16.6,0.417,3.3,8.7,0.377,3.6,7.9,0.462,0.516,3.3,3.6,0.892,0.7,3.5,4.2,6.6,1.7,0.7,2.1,2.3,20.4
PF,27,CHO,57,6,18.2,2.2,5.4,0.405,0.7,1.8,0.373,1.5,3.6,0.422,0.467,0.9,1.1,0.831,0.9,3.4,4.3,1.9,0.4,0.5,1,1.9,6
PF,29,BOS,26,21,22.5,2.8,5.6,0.507,0,0.1,0,2.8,5.5,0.514,0.507,1.3,2.1,0.611,2.9,5.4,8.3,0.8,0.3,0.3,0.9,2.2,7
SG,23,UTA,79,79,32.2,5.2,12.3,0.42,2,5.7,0.359,3.1,6.6,0.472,0.503,2.2,2.5,0.86,0.5,2.9,3.4,2.7,0.9,0.2,1.6,2.6,14.5
PF,24,UTA,62,59,32,6.7,13.1,0.515,0,0.1,0,6.7,13,0.518,0.515,2.9,4.1,0.709,2.7,5.4,8.1,1.5,1.2,1.5,1.7,2.4,16.4
SG,20,BOS,29,0,6.9,0.4,1.2,0.306,0.2,0.9,0.231,0.2,0.3,0.5,0.389,0,0.1,0.25,0.1,0.8,0.9,0.3,0.2,0,0.2,0.6,1
SG,31,WAS,40,2,20.2,3.8,8.1,0.465,1,2.5,0.41,2.8,5.6,0.489,0.528,1.2,1.4,0.855,0.3,1.8,2.1,1.2,0.5,0,0.7,1.4,9.8
PG,28,IND,29,29,36,8.1,18.4,0.442,2.7,6.7,0.395,5.5,11.7,0.469,0.514,2.7,2.9,0.906,0.8,4.1,4.8,6.6,1.3,0.3,2.1,1.9,21.6
C,29,MIA,27,22,26,3.6,8.5,0.424,2.1,6.1,0.343,1.5,2.3,0.635,0.548,0.6,0.8,0.714,1,4.8,5.8,2,0.8,0.7,1.3,2.6,9.9
PF,28,TOT,8,0,9.1,1.1,3.4,0.333,0,0,0,1.1,3.4,0.333,0.333,0.5,1.5,0.333,2.4,1.1,3.5,0.3,0.1,0.6,0,1.5,2.8
PG,23,UTA,64,0,21.3,4.1,9.9,0.413,1.4,4,0.344,2.7,5.9,0.46,0.483,1,1.3,0.817,0.3,1.5,1.8,2.3,0.5,0.1,1.3,1.3,10.6
SG,22,TOR,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,1,0
PG,21,SAS,9,0,3,0.7,1.3,0.5,0.1,0.1,1,0.6,1.2,0.455,0.542,0.6,0.6,1,0.4,0,0.4,0.1,0,0,0.2,0.2,2
PF,27,ATL,75,0,15.3,2.3,5,0.468,0.8,2.1,0.392,1.5,2.9,0.523,0.551,0.7,0.8,0.794,0.7,2,2.7,1,0.3,0.2,0.6,1.4,6.2
PF,34,MEM,68,53,29.6,6.3,13.3,0.475,0.1,0.4,0.231,6.3,13,0.482,0.479,2.5,3.2,0.796,2.6,5.1,7.8,2.1,0.6,0.2,1.5,2.1,15.3
SG,29,ATL,15,0,12.9,1.1,2.7,0.4,0.9,1.9,0.483,0.1,0.7,0.182,0.575,0,0,0,0.4,1.2,1.6,0.9,0.1,0.1,0.4,0.9,3.1
PF,31,DET,20,20,31.3,4.1,11.1,0.365,2,6.2,0.315,2.1,4.9,0.429,0.453,2.2,3.1,0.71,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
PG,21,MEM,16,16,30.3,6.8,14.9,0.458,0.8,3.3,0.25,6,11.6,0.516,0.485,4.3,5.4,0.802,0.8,2.3,3.1,8.3,0.9,0.3,3.2,1.4,18.8
PG,21,MIL,46,7,14.2,1.8,4.1,0.449,0.3,0.8,0.333,1.5,3.2,0.48,0.484,0.5,0.7,0.735,0.3,1.3,1.6,2.1,0.5,0,1,1.4,4.5
PF,25,PHO,8,0,6.3,1.1,2.8,0.409,0,0.1,0,1.1,2.6,0.429,0.409,0.5,0.8,0.667,0.8,1.3,2,0,0,0.1,0,1,2.8
PF,26,TOR,25,25,35.8,7.6,16.8,0.455,1.2,4.2,0.298,6.4,12.6,0.506,0.492,4.1,5.1,0.797,2.2,5.6,7.8,4.5,1.2,0.6,2.2,3.1,20.6
PF,23,BOS,81,73,23.6,4.3,10,0.435,0.4,1.3,0.282,4,8.7,0.458,0.453,1.3,2,0.64,2.4,5.9,8.3,2.3,0.9,0.6,1.3,2.6,10.3
SG,26,NOP,25,25,30.6,5.4,12.6,0.433,1.3,3.4,0.388,4.1,9.2,0.45,0.486,3,3.7,0.796,0.8,4.4,5.2,6.6,1.3,0.3,2.9,2.6,15.2
SF,23,CHO,10,0,10.8,1.6,3.3,0.485,0.2,0.9,0.222,1.4,2.4,0.583,0.515,0.7,1.1,0.636,0.4,1.7,2.1,0.6,0.2,0,0.9,1.5,4.1
PF,26,TOT,27,10,21.9,2.8,7.2,0.392,1.4,3.5,0.4,1.4,3.7,0.384,0.49,1.7,2,0.849,0.4,3.2,3.6,1.7,0.7,0.7,1.1,1.9,8.7
SF,20,SAS,26,1,17.3,1.9,4.8,0.397,1,2.4,0.397,1,2.4,0.397,0.496,0.7,0.8,0.857,0.6,2.6,3.2,1.1,1.1,0.3,0.5,1.2,5.5
PF,25,ORL,19,19,29.1,4.8,11.2,0.427,1.6,4.4,0.369,3.2,6.8,0.465,0.5,2.6,4.2,0.613,1.7,5.5,7.2,4.2,0.7,0.8,2.8,2,13.8
C,30,HOU,71,71,32.1,5.2,8.5,0.62,0,0.1,0,5.2,8.4,0.626,0.62,3.3,6.7,0.489,3.4,8.4,11.8,1.4,1,1.6,2.3,3.1,13.7
SG,26,CLE,24,6,20.4,3,7.2,0.41,1.1,3.8,0.283,1.9,3.4,0.556,0.486,0.8,1.1,0.692,0.2,1.7,1.8,2.2,0.5,0.1,0.8,0.9,7.8
PF,23,ATL,9,0,6,1,2.4,0.409,0.3,1,0.333,0.7,1.4,0.462,0.477,0.8,0.9,0.875,0.9,0.7,1.6,0.1,0.2,0.3,0.4,0.8,3.1
PG,32,BRK,32,32,32.1,4.4,11.2,0.391,1,3.2,0.304,3.4,8,0.426,0.434,3.1,3.5,0.893,0.3,4,4.3,7.4,1.1,0.2,2.9,2.4,12.8
PG,24,MIL,6,0,2.8,0.2,1.3,0.125,0,0.3,0,0.2,1,0.167,0.125,0,0,0,0,0.5,0.5,0.3,0,0,0,0.2,0.3
SG,28,ATL,9,2,23.7,3.3,8.7,0.385,2.3,6.4,0.362,1,2.2,0.45,0.519,0.9,1,0.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2,9.9
